LEA Code,District Name,School Code,School Name,Organization Type,School Type,Low Grade,High Grade,Address,City,State,Zip,County,Current Status,Categories And Programs,Virtual School,IB Program,Phone Number,Fax Number,Website Url,Email
0063,Albany,1582,Clearview Amish School,Private School,Combined Elementary/Secondary School,01,08,W114 Atkinson Rd,Albany,WI,53502,Green,OPEN,,,,,,,
0070,Algoma,7115,Saint Paul's Evangelical Lutheran School,Private School,Elementary School,K4,08,1115 Division St,Algoma,WI,54201,Kewaunee,OPEN,Choice,,,920-487-5712,920-487-9733,www.stpaulsalgoma.org,sec.stpaulsls@gmail.com
0112,Altoona,1174,Otter Creek Christian Academy,Private School,Elementary School,KG,08,919 10th St W,Altoona,WI,54720,Eau Claire,OPEN,,,,715-834-1782,,otter22.adventistschoolconnect.org,magarrett919@gmail.com
0112,Altoona,6255,Saint Marys Grade School,Private School,Elementary School,K4,05,1828 Lynn Ave,Altoona,WI,54720,Eau Claire,OPEN,Choice,,,715-830-2278,715-838-9573,www.regiscatholicschools.com,centraloffice@regiscatholicschools.com
0119,Amery,2024,Rivers Academy,Private School,Combined Elementary/Secondary School,KG,12,899 115th St,Amery,WI,54001,Polk,OPEN,,,,715-557-8215,,https://rivers-academy.org,wave1@rivers-academy.org
0140,Antigo Unified,4700,All Saints Catholic School,Private School,Elementary School,K4,08,419 6th Ave,Antigo,WI,54409,Langlade,OPEN,,,,715-623-4835,715-623-3202,www.ascscrusaders.org,pgaluska@ascscrusaders.org
0140,Antigo Unified,2280,Peace Lutheran School,Private School,Elementary School,K4,08,300 Lincoln St,Antigo,WI,54409,Langlade,OPEN,Choice,,,715-623-2209,715-627-0845,www.peaceantigo.org,d.storch@peaceantigo.org
0140,Antigo Unified,1906,Shepherds Watch Christian Academy,Private School,Elementary School,K4,09,507 Stone Ave,Mattoon,WI,54450,Shawano,OPEN,Choice,,,715-489-3638,,https://shepherdswatchca.org/,office@shepherdswca.org
0147,Appleton Area,1175,Celebration Lutheran School,Private School,Elementary School,K4,08,3100 E Evergreen Dr,Appleton,WI,54913,Outagamie,OPEN,Choice,,,920-734-8218,--,www.celebrationlutheran.net,school@celebrationlutheran.net
0147,Appleton Area,0700,Fox Valley Lutheran High School,Private School,High School,09,12,5300 N Meade St,Appleton,WI,54913,Outagamie,OPEN,Choice,,,920-739-4441,920-739-4418,www.fvlhs.org,anolte@fvlhs.org
0147,Appleton Area,1636,Fox Valley Montessori Academy,Private School,Elementary School,K4,KG,1130 W Marquette St,Appleton,WI,54914,Outagamie,OPEN,,,,920-903-2284,,,kim@appletonpreschool.com
0147,Appleton Area,1628,FreedomProject Academy,Private School,Combined Elementary/Secondary School,K4,12,750 N Hickory Farm Ln,Appleton,WI,54914,Outagamie,OPEN,,,,920-749-3793,920-243-0247,fpeusa.org,information@fpeusa.org
0147,Appleton Area,1924,Fundamentals LLC,Private School,Combined Elementary/Secondary School,KG,12,5555 W Grande Market Dr,Appleton,WI,54913,Outagamie,OPEN,,,,920-784-9276,,https://www.fundamentalswi.com,admin@fundamentalswi.com
0147,Appleton Area,2013,Innova School,Private School,Combined Elementary/Secondary School,KG,12,4321 W College Ave,Appleton,WI,54914,Outagamie,OPEN,,,,786-840-5990,,https://www.flexiacademy.com,ceo@taleem-edu.com
0147,Appleton Area,1982,Mount Olive Evangelical Lutheran School,Private School,Elementary School,K4,08,930 E Florida Ave,Appleton,WI,54911,Outagamie,OPEN,Choice,,,920-739-9194,,www.molmustangs.org,school.office@mountoliveappleton.com
0147,Appleton Area,1819,Richardson School,Private School,Combined Elementary/Secondary School,KG,12,2331 E Lourdes Drive,Appleton,WI,54915,Outagamie,OPEN,,,,920-944-9996,920-944-9998,,tracy.mueller@richardsonschool.com
0147,Appleton Area,2450,Riverview Lutheran School,Private School,Elementary School,K4,08,136 W Seymour St,Appleton,WI,54915,Outagamie,OPEN,Choice,,,920-733-3728,--,www.riverviewlutheran.org,bbengel@riverviewlutheran.org
0147,Appleton Area,7030,Saint Paul Lutheran School,Private School,Elementary School,K4,08,225 E Harris St,Appleton,WI,54911,Outagamie,OPEN,Choice,,,920-733-9061,,www.stpaulappletonwi.com,jkelley@stpaulappletonwi.com
0147,Appleton Area,7965,Xavier Elementary: McDonald Street,Private School,Elementary School,K4,04,1810 N McDonald St,Appleton,WI,54911,Outagamie,OPEN,Choice,,,920-739-7826,920-739-2376,www.xaviercatholicschools.org,atapelt@xaviercatholicschools.org
0147,Appleton Area,7595,Xavier Elementary: Marquette Street,Private School,Elementary School,K4,04,500 W Marquette St,Appleton,WI,54911,Outagamie,OPEN,Choice,,,920-733-4918,920-733-7269,www.xaviercatholicschools.org,kfairweather@xaviercatholicschools.org
0147,Appleton Area,8750,Xavier High School,Private School,High School,09,12,1600 W Prospect Ave,Appleton,WI,54914,Outagamie,OPEN,Choice,,,920-733-6632,920-735-1787,www.xaviercatholicschools.org,mmauthe@xaviercatholicschools.org
0147,Appleton Area,5230,Xavier Middle School,Private School,Middle School,05,08,2626 N Oneida St,Appleton,WI,54911,Outagamie,OPEN,Choice,,,920-730-8849,920-730-4147,www.xaviercatholicschools.org,smeyer@xaviercatholicschools.org
0154,Arcadia,0075,Holy Family Catholic Grade School,Private School,Elementary School,K4,08,532 McKinley St,Arcadia,WI,54612,Trempealeau,OPEN,,,,608-323-3676,608-323-7386,arcadiahfcs.wixsite.com/holyfamily,principal@holyfam.com
0154,Arcadia,3340,Saint Boniface Grade School,Private School,Elementary School,K4,08,S2026 County Road U,Waumandee,WI,54622,Buffalo,OPEN,,,,608-626-2611,,www.tresecclesiae.org/st-boniface-school,tresecclesiae@gmail.com
0170,Ashland,1893,Ambleside School of Ashland,Private School,Combined Elementary/Secondary School,KG,12,400 Salem Dr,Ashland,WI,54806,Ashland,OPEN,,,,715-209-4693,,https://amblesideashland.org,office@amblesideashland.org
0170,Ashland,2215,Our Lady of the Lake Catholic School,Private School,Elementary School,K4,08,215 Lake Shore Dr E,Ashland,WI,54806,Ashland,OPEN,Choice,,,715-682-7622,715-682-7624,ourladycs.org,principal@ourladycs.org
0182,Ashwaubenon,1697,Royal Montessori Academy Cormier Road,Private School,Elementary School,K4,KG,680 Cormier Rd,Green Bay,WI,54304,Brown,OPEN,,,,920-499-8900,920-499-8902,www.royalmontessoriacademy.com,hello@royalmontessoriacademy.com
0182,Ashwaubenon,1508,Saint Joseph School,Private School,Elementary School,K4,08,991 Pilgrim Way,Green Bay,WI,54304,Brown,OPEN,,,,920-499-9969,920-499-9769,www.saintjosephschoolinc.com,potto@saintjosephschoolinc.com
0196,Athens,3050,Saint Anthony de Padua Catholic School,Private School,Elementary School,K4,08,309 Mueller St,Athens,WI,54411,Marathon,OPEN,Choice,,,715-257-7541,715-257-7791,,luke.knoedler@staathens.org
0196,Athens,8380,Trinity Lutheran School,Private School,Elementary School,K4,08,301 Elm St,Athens,WI,54411,Marathon,OPEN,Choice,,,715-257-7559,715-257-7559,www.trinityathens.net,principal@trinityathens.com
0217,Augusta,1464,Augusta Amish Parochial Schools,Private School,Elementary School,01,08,S11360 County Road G,Augusta,WI,54722,Eau Claire,OPEN,,,,,,,
0217,Augusta,0102,Augusta Mennonite School,Private School,Combined Elementary/Secondary School,01,09,County Road GG,Augusta,WI,54722,Eau Claire,OPEN,,,,715-286-2828,715-286-2828,,wbuilders@wwt.net
0245,Bangor,7133,Saint Paul's Evangelical Lutheran School,Private School,Elementary School,K4,08,1301 Pearl St,Bangor,WI,54614,La Crosse,OPEN,Choice,,,608-486-2641,,www.stpaulsbangor.com,principal@stpaulsbangor.com
0245,Bangor,1576,Sandy Oak Amish School,Private School,Elementary School,KG,08,N4760 County Hwy J,Rockland,WI,54653,La Crosse,OPEN,,,,,,,
0280,Baraboo,1615,Community Christian School of Baraboo,Private School,Combined Elementary/Secondary School,K4,12,E12654 County Road T,Baraboo,WI,53913,Sauk,OPEN,Choice,,,608-448-2191,,www.barabooccs.com,administrator@barabooccs.com
0280,Baraboo,4830,Saint John's Lutheran School,Private School,Combined Elementary/Secondary School,K4,08,515 5th St,Baraboo,WI,53913,Sauk,OPEN,Choice,,,608-355-3860,608-355-3861,stjohnsbaraboo.org,tklemm@stjohnsbaraboo.org
0280,Baraboo,4990,Saint Joseph School,Private School,Elementary School,K4,08,310 2nd St,Baraboo,WI,53913,Sauk,OPEN,,,,608-356-3083,--,"www.stjohnpaul-ii,org/sjs",deniseb@stjosephbaraboo.com
0308,Barron Area,0115,Barron Christian School,Private School,Elementary School,KG,08,1446 15th St,Barron,WI,54812,Barron,OPEN,,,,715-637-6629,,,regaltran@yahoo.com
0308,Barron Area,2005,Christ Community Lutheran School,Private School,Elementary School,01,03,315 Clinton St S,Almena,WI,54805,Barron,OPEN,,,,715-357-3267,,https://www.christcommunityls.org,administrator@christcommunityls.org
0336,Beaver Dam Unified,8560,Saint Katharine Drexel School,Private School,Elementary School,KG,08,503 S Spring St,Beaver Dam,WI,53916,Dodge,OPEN,Choice,,,920-885-5558,920-885-7610,www.skds.org,weissj@stkds.com
0336,Beaver Dam Unified,7860,Saint Stephens Lutheran School,Private School,Elementary School,KG,08,412 W Maple Ave,Beaver Dam,WI,53916,Dodge,OPEN,,,,920-885-6484,,www.ssbdwels.com/school,principal@saintstephen.org
0336,Beaver Dam Unified,8670,Wayland Academy,Private School,High School,09,12,101 N University Ave,Beaver Dam,WI,53916,Dodge,OPEN,,,,920-356-2120,920-356-2068,www.wayland.org,jwarnick@wayland.org
0413,Beloit,2120,Our Lady of Assumption Grade School,Private School,Elementary School,K4,08,2222 Shopiere Rd,Beloit,WI,53511,Rock,OPEN,Choice,,,608-365-4014,--,https://school.olabeloit.com/,tseivert@olaschool.ws
